iteration,wins,losses,draws,score,LmrCoefficient,LmrCoefficient_spin,LmrBase,LmrBase_spin,LmrTtPvReduction,LmrTtPvReduction_spin,LmrHistoryNumerator,LmrHistoryNumerator_spin,RfpMarginPerDepth,RfpMarginPerDepth_spin,RfpTtPvMargin,RfpTtPvMargin_spin,FutilityBaseMargin,FutilityBaseMargin_spin,FutilityMarginPerDepth,FutilityMarginPerDepth_spin
166,4,4,8,0,2779.1048,2779,1009.9368,1010,1039.0943,1039,451.7660,452,97.3666,97,21.4191,21,124.4209,124,105.7400,106
167,4,4,8,0,2779.1048,2779,1009.9368,1010,1039.0943,1039,451.7660,452,97.3666,97,21.4191,21,124.4209,124,105.7400,106
168,3,5,8,-2,2780.4620,2780,1011.0487,1011,1038.2605,1038,452.1596,452,97.2906,97,21.3784,21,124.3178,124,105.8431,106
169,8,4,4,4,2777.7540,2778,1008.8302,1009,1039.9243,1040,451.3743,451,97.4423,97,21.2971,21,124.1120,124,105.6373,106
170,4,5,7,-1,2778.4294,2778,1008.2769,1008,1040.3393,1040,451.5701,452,97.4801,97,21.2769,21,124.0606,124,105.6887,106
171,3,4,9,-1,2779.1033,2779,1007.7249,1008,1040.7533,1041,451.7655,452,97.5178,98,21.2971,21,124.1118,124,105.7399,106
172,1,4,11,-3,2781.1201,2781,1006.0727,1006,1041.9924,1042,452.3504,452,97.4049,97,21.2366,21,124.2651,124,105.8931,106
173,7,3,6,4,2783.8029,2784,1003.8750,1004,1043.6407,1044,451.5724,452,97.2546,97,21.3171,21,124.0612,124,106.0970,106
174,2,4,10,-2,2782.4646,2782,1004.9713,1005,1042.8185,1043,451.9605,452,97.3296,97,21.3572,21,123.9595,124,105.9953,106
175,2,3,11,-1,2781.7970,2782,1004.4244,1004,1042.4083,1042,451.7669,452,97.3670,97,21.3372,21,123.9088,124,106.0461,106
176,6,2,8,4,2784.4613,2784,1002.2417,1002,1040.7713,1041,452.5396,453,97.5162,98,21.4171,21,124.1113,124,106.2486,106
177,3,1,12,2,2783.1322,2783,1003.3306,1003,1039.9547,1040,452.1541,452,97.4417,97,21.4570,21,124.0102,124,106.3496,106
178,6,2,8,4,2785.7844,2786,1005.5033,1006,1038.3251,1038,452.9233,453,97.2932,97,21.5366,22,124.2118,124,106.1480,106
179,5,4,7,1,2785.1229,2785,1006.0453,1006,1037.9186,1038,453.1151,453,97.2562,97,21.5564,22,124.2621,124,106.1983,106
180,3,2,11,1,2785.7830,2786,1005.5045,1006,1037.5131,1038,453.3065,453,97.2931,97,21.5366,22,124.3123,124,106.1481,106
181,5,4,7,1,2785.1244,2785,1006.0441,1006,1037.1084,1037,453.4975,453,97.3300,97,21.5168,22,124.3623,124,106.0981,106
